0,1,2,3,4,5
1640833200000,46661.94,46710.0,46468.15,46504.0,1036.37002
1640836800000,46504.0,46938.76,46490.01,46722.24,1127.4224
1640840400000,46722.25,46811.0,46577.0,46759.63,1116.94398
1640844000000,46761.93,46959.65,46702.82,46896.5,926.13329
1640847600000,46896.0,47105.37,46836.07,46980.71,1350.65584
1640851200000,46980.71,47195.07,46765.43,46795.75,1363.55046
1640854800000,46795.74,46993.12,46720.51,46753.42,1039.54077
1640858400000,46753.42,46962.93,46659.13,46952.91,805.19709
1640862000000,46952.91,47566.0,46888.99,47515.45,1578.22049
1640865600000,47515.45,47719.37,47400.0,47514.17,2014.69387
1640869200000,47514.16,47555.55,47300.0,47321.49,1350.13045
1640872800000,47321.5,47437.72,47166.97,47345.03,1333.65225
1640876400000,47345.02,47500.0,47118.69,47159.41,1054.54264
1640880000000,47159.42,47640.0,47092.13,47578.69,1554.92502
1640883600000,47578.69,47770.0,47467.08,47663.51,1127.83834
1640887200000,47663.5,47887.07,47474.58,47860.75,1145.17908
1640890800000,47860.74,47900.0,47528.49,47558.35,1136.2067
1640894400000,47558.35,47682.07,47071.0,47203.16,1456.46283
1640898000000,47203.16,47347.84,46919.44,47300.0,890.70108
1640901600000,47299.99,47325.33,46729.0,47084.88,792.93614
1640905200000,47084.88,47242.6,46940.96,47120.87,710.18694
1640908800000,47120.88,47500.0,46826.21,47073.98,1084.11426
1640912400000,47073.99,47349.1,46842.28,47121.94,762.07203
1640916000000,47121.95,47127.53,46825.38,46994.85,798.66344
1640919600000,46994.85,47281.68,46906.7,47201.85,633.32006
1640923200000,47201.84,47474.0,47141.8,47344.83,775.29781
1640926800000,47344.82,47400.36,47200.0,47280.01,592.96257
1640930400000,47280.01,47550.0,47156.07,47385.55,748.27615
1640934000000,47385.56,47453.15,46836.86,47191.09,1501.74203
1640937600000,47191.08,48548.26,47065.3,48433.9,3907.72398
1640941200000,48433.9,48548.26,48203.0,48291.96,1894.65137
1640944800000,48291.96,48456.47,47909.56,48027.42,1538.89328
1640948400000,48027.42,48212.39,47900.0,47975.76,1200.98299
1640952000000,47975.76,48108.6,47830.64,47978.84,1172.64226
1640955600000,47978.92,48079.45,47886.0,47936.44,1053.87615
1640959200000,47936.44,48170.0,47832.13,47976.51,1376.61691
1640962800000,47976.51,48116.94,47861.77,48005.37,1261.41289
1640966400000,48005.37,48118.45,47409.77,47471.66,1589.51833
1640970000000,47471.67,47550.0,46889.0,47016.57,1962.23708
1640973600000,47016.56,47040.52,46500.0,46686.41,1687.72844
1640977200000,46686.42,46688.68,45678.96,45728.28,3851.30902
1640980800000,45728.28,46211.07,45678.0,45879.24,1831.41202
1640984400000,45886.66,46513.67,45766.85,46333.86,1734.69585
1640988000000,46333.87,46569.97,46232.36,46303.99,991.85142
1640991600000,46303.98,46520.13,46132.04,46216.93,985.99762
1640995200000,46216.93,46731.39,46208.37,46656.13,1503.33095
1640998800000,46656.14,46949.99,46574.06,46778.14,943.81539
1641002400000,46778.14,46928.94,46721.96,46811.77,485.1686
1641006000000,46811.77,46916.63,46760.12,46813.2,562.88971
1641009600000,46813.21,46887.33,46591.23,46711.05,861.88389
1641013200000,46711.05,47555.55,46673.94,47192.55,1400.73642
1641016800000,47192.56,47324.42,46940.0,46979.62,613.97776
1641020400000,46979.61,47255.85,46864.84,47194.73,646.20081
1641024000000,47194.73,47344.69,47075.11,47124.82,532.44767
1641027600000,47124.82,47215.56,46933.58,47143.98,541.32491
1641031200000,47143.98,47298.75,46715.39,46871.08,923.0176
1641034800000,46871.09,47007.73,46756.77,46758.87,732.88793
1641038400000,46758.87,47150.48,46756.3,47074.05,582.15009
1641042000000,47074.05,47199.67,46935.09,47023.24,454.14412
1641045600000,47023.24,47100.0,46850.18,46926.22,503.6622
1641049200000,46920.01,47491.14,46871.69,47219.04,1515.95305
1641052800000,47219.04,47527.24,47186.07,47268.62,1049.57919
1641056400000,47268.61,47954.63,47238.81,47754.48,1320.66577
1641060000000,47754.47,47844.97,47420.0,47560.55,860.76025
1641063600000,47560.54,47611.84,47292.72,47329.78,830.6716
1641067200000,47329.79,47559.03,47250.18,47391.82,717.20792
1641070800000,47391.82,47573.05,47268.79,47319.67,809.21927
1641074400000,47319.66,47490.98,47222.22,47440.74,466.47861
1641078000000,47440.74,47814.0,47277.77,47722.65,746.28954
1641081600000,47722.66,47750.0,47381.12,47625.3,1082.50817
1641085200000,47625.29,47641.83,47315.38,47377.97,465.7536
1641088800000,47377.97,47449.56,47275.5,47370.5,452.39245
1641092400000,47370.49,47467.11,47269.47,47329.47,387.25302
1641096000000,47329.47,47415.73,46770.23,46910.3,1259.6882
1641099600000,46910.3,47089.63,46832.08,47081.28,686.20377
1641103200000,47081.28,47244.0,47011.24,47122.61,528.20197
1641106800000,47122.6,47300.0,47087.62,47173.45,544.37433
1641110400000,47173.44,47247.12,46970.05,47222.4,578.28603
1641114000000,47222.4,47499.45,47144.12,47273.24,792.44368
1641117600000,47273.23,47348.34,47140.3,47188.89,390.08901
1641121200000,47188.88,47400.0,47159.57,47235.5,359.02993
1641124800000,47238.89,47447.0,47013.5,47292.95,798.05773
1641128400000,47289.67,47300.86,47090.0,47137.35,580.44121
1641132000000,47137.35,47202.39,47020.0,47112.55,617.66611
1641135600000,47112.54,47390.0,47071.27,47340.47,784.16369
1641139200000,47340.47,47886.0,47273.64,47792.3,1367.5695
1641142800000,47792.29,47990.0,47317.46,47401.14,1440.59237
1641146400000,47401.14,47401.14,46654.0,47058.12,1852.33799
1641150000000,47056.43,47217.1,46851.51,46907.68,937.38607
1641153600000,46907.67,47050.0,46815.17,47007.14,570.22257
1641157200000,47007.14,47187.98,46913.27,47018.03,432.59568
1641160800000,47017.98,47398.99,47014.84,47255.38,683.72196
1641164400000,47255.39,47469.34,47255.38,47286.18,749.48136
1641168000000,47286.18,47289.11,47050.0,47050.08,734.11794
1641171600000,47050.09,47138.78,46950.0,47116.71,628.0558
1641175200000,47116.22,47116.71,46858.44,46999.98,781.70714
1641178800000,46999.98,47084.8,46722.39,46793.26,850.43854
1641182400000,46793.27,46944.77,46750.0,46822.26,688.49875
1641186000000,46822.26,47211.09,46750.13,47078.64,918.62173
1641189600000,47078.64,47100.0,46877.84,46923.75,596.63069
