0,1,2,3,4,5
1642505640000,41723.76,41741.27,41705.94,41723.01,19.1801
1642505700000,41723.0,41738.28,41717.38,41738.27,10.26886
1642505760000,41738.27,41748.05,41710.24,41748.05,15.36718
1642505820000,41748.05,41748.05,41711.56,41725.82,11.17481
1642505880000,41725.82,41749.99,41720.05,41749.98,14.48548
1642505940000,41749.99,41763.67,41734.69,41748.4,12.15145
1642506000000,41748.4,41769.02,41716.24,41722.99,16.68548
1642506060000,41722.99,41725.79,41705.9,41709.12,19.97554
1642506120000,41709.13,41751.17,41694.54,41746.12,44.71381
1642506180000,41746.12,41750.9,41713.57,41714.9,16.90258
1642506240000,41714.91,41748.05,41710.04,41748.04,15.08474
1642506300000,41748.04,41797.95,41728.41,41791.81,15.55239
1642506360000,41791.81,41797.58,41775.61,41784.62,8.10617
1642506420000,41784.63,41791.15,41760.55,41766.75,15.96343
1642506480000,41766.76,41780.01,41762.24,41767.98,10.3223
1642506540000,41767.99,41776.6,41753.0,41762.33,6.59469
1642506600000,41762.33,41780.01,41762.33,41779.91,8.69395
1642506660000,41779.91,41807.48,41777.04,41803.67,18.67373
1642506720000,41803.68,41814.97,41792.36,41797.67,22.17456
1642506780000,41797.67,41804.55,41753.0,41753.01,10.46696
1642506840000,41753.01,41755.08,41706.3,41751.04,20.83569
1642506900000,41748.69,41773.79,41745.58,41769.68,17.94478
1642506960000,41769.68,41793.69,41765.05,41793.68,15.89853
1642507020000,41793.68,41793.69,41761.8,41767.81,11.00838
1642507080000,41767.8,41790.0,41759.69,41786.38,10.21328
1642507140000,41786.37,41896.09,41786.37,41854.14,54.65435
1642507200000,41854.13,41914.33,41843.9,41912.55,24.13557
1642507260000,41912.55,41919.68,41891.71,41906.94,18.02209
1642507320000,41906.94,41939.97,41891.73,41910.66,18.44988
1642507380000,41910.66,41950.0,41905.0,41930.15,18.97906
1642507440000,41930.14,41933.57,41902.36,41902.97,10.05222
1642507500000,41902.97,41929.0,41898.95,41914.52,9.02983
1642507560000,41914.53,41914.53,41876.55,41884.3,9.34855
1642507620000,41884.3,41884.3,41842.22,41842.23,8.72545
1642507680000,41842.23,41850.0,41807.1,41816.88,14.71745
1642507740000,41816.88,41854.17,41816.88,41835.17,6.94783
1642507800000,41835.17,41856.18,41824.2,41852.95,6.73181
1642507860000,41852.96,41864.26,41839.87,41843.41,9.73088
1642507920000,41843.4,41843.41,41764.62,41771.99,11.70756
1642507980000,41771.99,41785.44,41742.09,41763.36,18.8126
1642508040000,41763.37,41793.54,41743.24,41762.01,15.94404
1642508100000,41762.02,41770.57,41725.7,41743.0,29.77923
1642508160000,41743.0,41748.44,41690.58,41690.95,36.97483
