0,1,2,3,4,5
1642408680000,42780.49,42841.98,42777.8,42829.99,68588.10819098
1642408740000,42831.26,42836.14,42802.85,42804.08,23210.1361069026
1642408800000,42813.21,42829.73,42812.23,42828.94,42326.82500405
1642408860000,42825.49,42846.54,42825.49,42827.51,9878.192948
1642408920000,42825.53,42831.56,42803.7,42826.48,26175.319716258
1642408980000,42824.1,42838.51,42810.58,42810.58,31448.67053359645
1642409040000,42806.69,42830.66,42802.72,42824.74,23466.074166
1642409100000,42830.65,42833.35,42811.13,42816.2,17051.839133
1642409160000,42812.56,42812.57,42788.92,42794.24,18563.0691864
1642409220000,42776.86,42776.86,42748.36,42757.39,11875.9146852979
1642409280000,42759.8,42806.46,42759.74,42806.46,21262.319789
1642409340000,42802.48,42802.49,42772.16,42802.49,28885.57205338
1642409400000,42809.07,42838.31,42809.07,42838.31,12362.5571654
1642409460000,42839.99,42858.07,42833.3,42858.07,6653.768245
1642409520000,42853.27,42864.66,42833.51,42864.66,35579.62881603605
1642409580000,42859.21,42861.5,42837.36,42846.64,37013.101709
1642409640000,42851.67,42855.7,42821.61,42821.61,38308.05996196395
1642409700000,42821.54,42832.36,42814.96,42832.36,21819.29353411
1642409760000,42830.06,42847.61,42826.14,42847.53,17585.03571405
1642409820000,42848.64,42848.64,42842.16,42847.48,22584.999691288
1642409880000,42838.79,42842.27,42802.12,42815.57,38308.234146
1642409940000,42821.51,42843.26,42790.46,42791.36,33824.476045031624
1642410000000,42791.36,42832.93,42791.35,42816.84,130486.42270728185
1642410060000,42814.85,42822.67,42799.03,42803.31,8800.790773298
1642410120000,42800.91,42827.41,42787.41,42804.08,14436.18218074
1642410180000,42810.96,42810.96,42772.74,42785.47,20651.6022170592
1642410240000,42778.74,42778.74,42748.67,42772.59,35097.939929
1642410300000,42772.59,42793.73,42748.11,42781.7,78580.45887485
1642410360000,42774.62,42825.28,42774.62,42825.28,11519.616069
1642410420000,42825.28,42849.52,42825.28,42849.52,3061.15696633
1642410480000,42849.52,42868.41,42835.69,42867.29,40653.635843
1642410540000,42862.51,42872.17,42860.33,42866.32,18995.2649279
1642410600000,42866.33,42875.6,42866.01,42866.01,13728.214054105
1642410660000,42866.01,42873.04,42866.01,42867.49,1611.878284
1642410720000,42877.16,42888.88,42877.16,42886.48,4128.9922419457
1642410780000,42888.21,42888.21,42850.71,42869.55,60492.69997395
1642410840000,42876.23,42876.23,42853.53,42853.6,26320.399201
1642410900000,42849.61,42878.94,42840.83,42855.98,27858.8983349
1642410960000,42859.51,42876.33,42851.15,42857.83,21597.74589609
1642411020000,42843.98,42843.98,42822.73,42822.73,22536.14507097305
1642411080000,42829.31,42829.31,42800.16,42802.98,107743.8032484
1642411140000,42799.73,42801.19,42772.06,42794.05,39748.77995108
1642411200000,42794.05,42794.05,42747.27,42750.76,30773.754939
1642411260000,42757.1,42764.89,42745.65,42746.8,82567.23622127435
1642411320000,42753.2,42775.52,42749.72,42750.35,21263.980935
1642411380000,42753.93,42788.5,42753.93,42781.25,35405.277247
1642411440000,42776.56,42799.99,42773.08,42773.08,6314.589391
1642411500000,42764.05,42784.85,42758.64,42779.25,13172.624892
1642411560000,42779.26,42790.08,42779.05,42780.58,17651.6697663686
1642411620000,42782.69,42796.64,42782.68,42792.41,11534.434077
1642411680000,42789.91,42789.91,42763.04,42778.99,118956.20383434
1642411740000,42769.99,42769.99,42736.2,42747.5,117536.713738
1642411800000,42756.27,42799.99,42749.48,42793.77,37864.01208964715
1642411860000,42795.53,42818.02,42795.53,42818.02,27464.680094
1642411920000,42815.35,42815.35,42792.74,42812.4,19801.67199
1642411980000,42806.68,42812.27,42789.83,42789.83,34291.8226666
1642412040000,42803.88,42803.88,42777.11,42777.11,6225.326829
1642412100000,42773.75,42777.3,42762.23,42772.22,16017.84673456
1642412160000,42774.28,42777.3,42760.86,42777.3,41964.8767171
1642412220000,42782.02,42817.23,42782.02,42817.23,10895.81520292
1642412280000,42811.78,42829.77,42811.77,42822.23,107370.969525
1642412340000,42827.67,42837.54,42818.4,42834.75,28142.5623632
