Time,Open,High,Low,Close,Vol
1642784400000,38720.72,38752.7,38440.0,38452.98,430.32798
1642785300000,38452.98,38546.36,38364.16,38503.24,469.57498
1642786200000,38503.23,38577.53,38295.0,38374.52,572.18314
1642787100000,38374.52,38429.42,38284.84,38382.5,432.73988
1642788000000,38383.49,38644.02,38370.71,38582.45,450.74172
1642788900000,38582.44,38615.74,38061.1,38183.16,743.18122
1642789800000,38183.16,38495.37,37850.0,38394.21,1143.00795
1642790700000,38394.2,38483.81,38223.97,38265.12,315.16751
1642791600000,38268.42,38458.6,38220.5,38345.31,300.79572
1642792500000,38345.3,38500.0,38182.25,38228.55,302.73351
1642793400000,38222.0,38300.0,38021.99,38212.25,415.35543
1642794300000,38212.24,38299.99,37946.0,37984.12,402.88783
1642795200000,37984.11,38172.05,37601.16,37645.36,1203.466954
1642796100000,37645.36,38123.4,37601.0,37757.4,1156.4853
1642797000000,37757.39,38398.93,37746.57,38210.55,923.7982
1642797900000,38210.55,38470.0,37926.0,38355.16,884.39552
1642798800000,38350.62,38464.36,38221.61,38229.2,497.82349
1642799700000,38229.19,38328.38,37970.31,38022.84,411.13188
1642800600000,38022.84,38098.03,37352.8,37466.05,2452.182238
1642801500000,37466.06,37470.38,36158.0,36682.23,6476.946348
1642802400000,36682.23,37201.16,36575.32,36840.01,1518.33778
1642803300000,36840.01,37035.44,36433.78,37000.0,1003.05842
1642804200000,37000.01,37000.01,36241.16,36419.99,818.92056
1642805100000,36420.0,36548.86,35440.45,36117.6,4029.554454
1642806000000,36123.85,36518.0,35780.66,36354.65,2418.87057
1642806900000,36354.65,36890.0,36269.47,36732.31,1271.98979
1642807800000,36732.3,36795.41,36364.88,36431.98,722.56014
1642808700000,36431.98,36524.84,36301.01,36445.31,565.27331
1642809600000,36445.31,36835.22,36207.46,36351.18,1031.47451
1642810500000,36351.19,36464.5,36136.66,36410.15,628.43728
1642811400000,36410.15,36721.16,36384.92,36552.03,682.43748
1642812300000,36552.03,36700.0,36466.84,36487.96,509.43287
1642813200000,36487.96,36493.0,36158.65,36199.6,1077.28571
1642814100000,36196.35,36534.96,36032.02,36261.0,830.76626
1642815000000,36260.99,36619.71,36189.38,36483.02,851.32642
1642815900000,36483.02,36574.97,36391.06,36483.15,569.82501
1642816800000,36483.15,36507.37,36293.28,36474.54,491.41515
1642817700000,36474.55,36524.77,36263.0,36316.08,441.8235
1642818600000,36316.08,36466.77,36263.28,36411.35,549.93151
1642819500000,36413.64,36549.91,36324.29,36467.23,669.50778
1642820400000,36467.22,36690.0,36460.87,36588.61,769.30873
1642821300000,36588.61,36675.75,36500.57,36545.66,1186.47606
1642822200000,36545.66,36610.0,36009.98,36127.18,1753.28615
1642823100000,36127.18,36367.44,36100.0,36341.64,927.83533
1642824000000,36340.43,36423.82,36248.28,36408.56,622.39461
1642824900000,36408.55,36410.48,36287.92,36295.19,460.66846
1642825800000,36295.2,36350.0,36200.0,36310.05,861.85516
1642826700000,36312.6,36348.22,36236.97,36278.51,388.77943
1642827600000,36278.52,36342.7,36160.0,36309.15,479.32248
1642828500000,36309.16,36342.71,36130.08,36130.91,628.46046
1642829400000,36130.91,36212.12,35874.19,35917.42,1434.50352
1642830300000,35917.43,35998.0,35600.01,35738.77,1126.1958
1642831200000,35738.77,35935.77,35700.0,35721.68,909.58775
1642832100000,35719.36,35860.0,35559.0,35572.92,781.23019
1642833000000,35572.91,35984.68,35400.02,35920.82,1932.59642
1642833900000,35920.83,35932.4,35599.99,35719.0,799.25724
1642834800000,35719.01,35895.0,35580.26,35750.0,707.12255
1642835700000,35750.0,35798.53,35220.0,35347.81,1476.462944
1642836600000,35355.03,35586.24,35112.84,35567.49,2030.289474
1642837500000,35568.99,35699.3,35400.01,35400.02,1061.42068
1642838400000,35400.01,35794.54,35397.36,35644.43,998.98844
1642839300000,35644.43,35806.97,35489.17,35764.25,1085.6948
1642840200000,35761.66,35819.73,35628.63,35673.91,763.38954
1642841100000,35673.91,35748.29,35570.93,35599.94,596.00255
1642842000000,35599.94,35737.15,35388.0,35516.81,667.18404
1642842900000,35516.81,35620.54,35301.01,35428.06,804.94952
1642843800000,35428.06,35487.87,35014.0,35142.08,1554.991608
1642844700000,35142.09,35252.83,34664.0,34814.49,3175.425664
1642845600000,34812.32,34952.2,34008.0,34456.37,4327.572411
1642846500000,34456.36,35078.8,34255.0,34903.54,2625.58904
1642847400000,34903.53,35948.01,34878.38,35634.49,4941.12876
1642848300000,35634.48,35656.29,35222.01,35488.54,1516.96472
1642849200000,35488.54,35693.09,35266.0,35290.07,1387.29891
1642850100000,35290.07,35453.57,35250.15,35377.0,568.8814
1642851000000,35377.0,35434.96,35011.1,35077.54,1296.87203
1642851900000,35077.54,35516.74,34801.0,35406.76,1558.7016
1642852800000,35406.76,35697.58,35336.23,35566.56,1213.76283
1642853700000,35566.56,35900.0,35354.93,35395.73,1376.53955
1642854600000,35395.73,35699.92,35382.37,35585.75,573.90232
1642855500000,35585.76,35889.14,35576.84,35768.0,945.20683
1642856400000,35769.8,35833.25,35549.96,35805.84,927.68177
1642857300000,35805.84,36192.76,35755.01,35775.39,1378.21819
1642858200000,35775.39,35855.86,35650.76,35700.0,542.56382
1642859100000,35700.01,35754.41,35518.2,35576.3,867.83701
1642860000000,35576.29,35634.5,35360.01,35372.54,739.64609
1642860900000,35372.55,35650.0,35372.54,35496.84,515.23439
1642861800000,35496.85,35656.93,35400.0,35491.98,468.67199
1642862700000,35491.98,35568.48,34988.8,35009.27,1186.64365
1642863600000,35009.27,35319.99,34989.23,35122.66,905.85838
